Entry,Entry name,Status,Protein names,Cross-reference (DrugBank),Annotation
W1IAR2,W1IAR2_HUMAN,unreviewed,Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment),,3 out of 5
A0A6B7FUC3,A0A6B7FUC3_HUMAN,unreviewed,Breast cancer type 1 susceptibility protein (EC 2.3.2.27) (Fragment),,1 out of 5
A0A024R1Y0,A0A024R1Y0_HUMAN,unreviewed,Breast cancer type 1 susceptibility protein (EC 2.3.2.27),,3 out of 5
A1Z4K5,A1Z4K5_HUMAN,unreviewed,NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2),,3 out of 5
A0A068BI55,A0A068BI55_HUMAN,unreviewed,Breast and ovarian cancer susceptibility protein 1 (Truncated breast and ovarian cancer susceptibility protein 1) (Fragment),,1 out of 5
A0A2S0RQ09,A0A2S0RQ09_HUMAN,unreviewed,BRCA1 (Fragment),,1 out of 5
B2RBL9,B2RBL9_HUMAN,unreviewed,"cDNA, FLJ95582, highly similar to Homo sapiens breast cancer anti-estrogen resistance 1 (BCAR1),mRNA",,1 out of 5
A0A2H4N753,A0A2H4N753_HUMAN,unreviewed,Partner and localizer of BRCA2 (Fragment),,1 out of 5
K4JUB6,K4JUB6_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 1 (Fragment),,1 out of 5
A0A386IND4,A0A386IND4_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 2,,1 out of 5
A0A068BI36,A0A068BI36_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 1 (Fragment),,1 out of 5
A0A2S0R9H0,A0A2S0R9H0_HUMAN,unreviewed,BRCA2 (Fragment),,1 out of 5
A0A0B6XK13,A0A0B6XK13_HUMAN,unreviewed,RAP1 GTPase activating protein (Fragment),,1 out of 5
H3BSB2,H3BSB2_HUMAN,unreviewed,Breast cancer anti-estrogen resistance protein 1 (Fragment),,1 out of 5
Q05GC8,Q05GC8_HUMAN,unreviewed,Breast cancer anti-estrogen resistance 2 (Transcriptional-regulating factor 1),,2 out of 5
A0A386INP8,A0A386INP8_HUMAN,unreviewed,Breast cancer type 1 susceptibility protein (EC 2.3.2.27),,3 out of 5
A6ZF82,A6ZF82_HUMAN,unreviewed,Cytochrome b,,2 out of 5
A0A8A0Y2Q6,A0A8A0Y2Q6_HUMAN,unreviewed,HER2 splice variant (Fragment),,1 out of 5
Q7YCF0,Q7YCF0_HUMAN,unreviewed,Cytochrome c oxidase subunit 1 (EC 7.1.1.9),,3 out of 5
W1IAG9,W1IAG9_HUMAN,unreviewed,Cytochrome c oxidase polypeptide I (EC 7.1.1.9) (Cytochrome c oxidase subunit 1) (Fragment),,2 out of 5
Q9H2M2,Q9H2M2_HUMAN,unreviewed,Estrogen receptor (Estrogen receptor alpha),,1 out of 5
A6ZFB0,A6ZFB0_HUMAN,unreviewed,NADH-ubiquinone oxidoreductase chain 2 (EC 7.1.1.2),,2 out of 5
O76068,O76068_HUMAN,unreviewed,Peripheral-type benzodiazepine receptor (Translocator protein) (Fragment),,2 out of 5
H3BSY4,H3BSY4_HUMAN,unreviewed,Breast cancer anti-estrogen resistance protein 1 (Fragment),,1 out of 5
Q85BA9,Q85BA9_HUMAN,unreviewed,Cytochrome b,,3 out of 5
Q9GZR0,Q9GZR0_HUMAN,unreviewed,HNa6/Scn8a voltage-gated sodium channel (Nav1.6) (Voltage-gated sodium channel) (Fragment),,1 out of 5
Q6RJW4,Q6RJW4_HUMAN,unreviewed,Env (Fragment),,1 out of 5
A0A2S0RQN4,A0A2S0RQN4_HUMAN,unreviewed,BRCA2 (Fragment),,1 out of 5
A0A7P0T9D7,A0A7P0T9D7_HUMAN,unreviewed,Breast cancer type 2 susceptibility protein,,1 out of 5
A0A386IPW1,A0A386IPW1_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 1,,1 out of 5
A0A590UJ24,A0A590UJ24_HUMAN,unreviewed,Breast cancer type 2 susceptibility protein (Fragment),,1 out of 5
A0A0G3FCF2,A0A0G3FCF2_HUMAN,unreviewed,Breast cancer type 1 susceptibility protein (Fragment),,1 out of 5
Q3YB50,Q3YB50_HUMAN,unreviewed,Breast and ovarian cancer susceptibility protein (Fragment),,1 out of 5
A0A068BDS6,A0A068BDS6_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),,1 out of 5
F2YBS5,F2YBS5_HUMAN,unreviewed,Osteopontin-D (Fragment),,1 out of 5
G4V4Z7,G4V4Z7_HUMAN,unreviewed,Breast cancer associated protein 1 (Fragment),,1 out of 5
H3BU42,H3BU42_HUMAN,unreviewed,Breast cancer anti-estrogen resistance protein 1 (Fragment),,1 out of 5
Q4F5W1,Q4F5W1_HUMAN,unreviewed,NADH-ubiquinone oxidoreductase chain 2 (EC 7.1.1.2),,2 out of 5
A0A2R4U2D7,A0A2R4U2D7_HUMAN,unreviewed,BRCA1 protein (Fragment),,1 out of 5
Q1HGV1,Q1HGV1_HUMAN,unreviewed,Mutant p53 tumor suppressor (Fragment),,1 out of 5
H0Y8D8,H0Y8D8_HUMAN,unreviewed,Breast cancer type 1 susceptibility protein (Fragment),,1 out of 5
A0A098CLD5,A0A098CLD5_HUMAN,unreviewed,NADH-ubiquinone oxidoreductase chain 1 (EC 7.1.1.2) (Fragment),,2 out of 5
A0A248X3Z6,A0A248X3Z6_HUMAN,unreviewed,BRCA2 (Fragment),,1 out of 5
A0A386IPJ4,A0A386IPJ4_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 2,,1 out of 5
A0A386ING9,A0A386ING9_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 2 variant (Fragment),,1 out of 5
Q7KYZ0,Q7KYZ0_HUMAN,unreviewed,p65 (Fragment),,1 out of 5
W1IAH8,W1IAH8_HUMAN,unreviewed,Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment),,3 out of 5
E9LRT1,E9LRT1_HUMAN,unreviewed,POU domain protein,,2 out of 5
A0A2R8Y596,A0A2R8Y596_HUMAN,unreviewed,Breast cancer anti-estrogen resistance protein 1,,2 out of 5
W1ICU3,W1ICU3_HUMAN,unreviewed,Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment),,3 out of 5
A0A6B7FUW4,A0A6B7FUW4_HUMAN,unreviewed,Breast cancer type 1 susceptibility protein (EC 2.3.2.27) (Fragment),,1 out of 5
A0A482E6X8,A0A482E6X8_HUMAN,unreviewed,Breast cancer type 1 susceptibility protein (EC 2.3.2.27) (Fragment),,1 out of 5
Q6NWU0,Q6NWU0_HUMAN,unreviewed,Cytochrome P450 (EC 1.14.14.-),,2 out of 5
A8R1N6,A8R1N6_HUMAN,unreviewed,NADH-ubiquinone oxidoreductase chain 6 (EC 7.1.1.2),,2 out of 5
A0A386IQ64,A0A386IQ64_HUMAN,unreviewed,Breast cancer type 1 susceptibility protein (EC 2.3.2.27),,3 out of 5
A0A6B7FV02,A0A6B7FV02_HUMAN,unreviewed,Breast cancer type 1 susceptibility protein (EC 2.3.2.27) (Fragment),,1 out of 5
K7EPC7,K7EPC7_HUMAN,unreviewed,Breast cancer type 1 susceptibility protein,,1 out of 5
A4CZ08,A4CZ08_HUMAN,unreviewed,Uncharacterized protein DKFZp727A051 (Fragment),,1 out of 5
A0A139ZZA2,A0A139ZZA2_HUMAN,unreviewed,Mitogen-activated protein kinase kinase kinase 11 (Fragment),,1 out of 5
A0A2D3USR3,A0A2D3USR3_9PEZI,unreviewed,"Probable transporter, ABC superfamily (Breast cancer resistance protein)",,1 out of 5
Q96SE8,Q96SE8_HUMAN,unreviewed,Urokinase-type plasminogen activator (EC 3.4.21.73) (Urokinase-type plasminogen activator chain B) (Urokinase-type plasminogen activator long chain A) (Urokinase-type plasminogen activator short chain A),,2 out of 5
A0A6B7FU53,A0A6B7FU53_HUMAN,unreviewed,Breast cancer type 1 susceptibility protein (EC 2.3.2.27) (Fragment),,1 out of 5
A0A248X3Y9,A0A248X3Y9_HUMAN,unreviewed,BRCA2 (Fragment),,1 out of 5
A0A0F6TMZ9,A0A0F6TMZ9_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),,1 out of 5
A0A386INL2,A0A386INL2_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 2,,1 out of 5
A0A068BI53,A0A068BI53_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 1 (Fragment),,1 out of 5
A0A386IPH1,A0A386IPH1_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 2,,1 out of 5
Q8IZK4,Q8IZK4_HUMAN,unreviewed,Breast and ovarian cancer susceptibility protein (Fragment),,1 out of 5
A0A0S2ZYP9,A0A0S2ZYP9_HUMAN,unreviewed,Mutant BRCA2 (Fragment),,1 out of 5
Q9H279,Q9H279_HUMAN,unreviewed,Serologically defined breast cancer antigen NY-BR-73 (Fragment),,1 out of 5
B4DLQ5,B4DLQ5_HUMAN,unreviewed,"cDNA FLJ60297, highly similar to Homo sapiens breast cancer metastasis-suppressor 1-like (BRMS1L), mRNA",,1 out of 5
Q4GQY8,Q4GQY8_HUMAN,unreviewed,NADH-ubiquinone oxidoreductase chain 4 (EC 7.1.1.2),,3 out of 5
A0A6B7FUE8,A0A6B7FUE8_HUMAN,unreviewed,Truncated breast cancer type 1 susceptibility protein (EC 2.3.2.27) (Fragment),,1 out of 5
A0A590UJI7,A0A590UJI7_HUMAN,unreviewed,Breast cancer type 2 susceptibility protein (Fragment),,1 out of 5
A0A098CMN4,A0A098CMN4_HUMAN,unreviewed,NADH-ubiquinone oxidoreductase chain 1 (EC 7.1.1.2) (Fragment),,2 out of 5
E9LRM3,E9LRM3_HUMAN,unreviewed,POU domain protein,,2 out of 5
O78759,O78759_HUMAN,unreviewed,NADH-ubiquinone oxidoreductase chain 2 (EC 7.1.1.2) (Fragment),,2 out of 5
Q9T3Q5,Q9T3Q5_HUMAN,unreviewed,NADH-ubiquinone oxidoreductase chain 2 (EC 7.1.1.2) (Fragment),,2 out of 5
O95958,O95958_HUMAN,unreviewed,"Lost in inflammatory breast cancer tumor suppressor protein (WNT1 inducible signaling pathway protein 3, isoform CRA_d)",,1 out of 5
Q8NG44,Q8NG44_HUMAN,unreviewed,Progesterone receptor (PR) (Nuclear receptor subfamily 3 group C member 3),,3 out of 5
A0A6B7FU98,A0A6B7FU98_HUMAN,unreviewed,Truncated breast cancer type 1 susceptibility protein (EC 2.3.2.27) (Fragment),,1 out of 5
Q9B1A3,Q9B1A3_HUMAN,unreviewed,ATP synthase protein 8,,2 out of 5
A8QTM8,A8QTM8_HUMAN,unreviewed,NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2),,3 out of 5
A0A2R2Y2Q3,A0A2R2Y2Q3_HUMAN,unreviewed,Tropomyosin 3 nu (Tropomyosin alpha-3 chain),,1 out of 5
E0Y4D8,E0Y4D8_HUMAN,unreviewed,Cytochrome c oxidase subunit 3,,2 out of 5
A0A590UJU6,A0A590UJU6_HUMAN,unreviewed,Breast cancer type 2 susceptibility protein (Fragment),,1 out of 5
A8K5Y2,A8K5Y2_HUMAN,unreviewed,"cDNA FLJ77228, highly similar to Homo sapiens amphiphysin (Stiff-Man syndrome with breast cancer 128kDa autoantigen) (AMPH), transcript variant 1, mRNA",,1 out of 5
A0A386INM2,A0A386INM2_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 2,,1 out of 5
Q0QJI3,Q0QJI3_HUMAN,unreviewed,Chemokine-like factor superfamily 1 transcript variant 26,,1 out of 5
Q14801,Q14801_HUMAN,unreviewed,Uncharacterized protein,,1 out of 5
A0A0F6TNH6,A0A0F6TNH6_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 1 (Fragment),,1 out of 5
A0A0F6RAC9,A0A0F6RAC9_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 1 (Fragment),,1 out of 5
G4Y088,G4Y088_HUMAN,unreviewed,p53 (Fragment),,1 out of 5
A0A649UI09,A0A649UI09_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 2,,1 out of 5
G4V503,G4V503_HUMAN,unreviewed,Breast cancer associated protein 1 (Fragment),,1 out of 5
A0A0F6RAD2,A0A0F6RAD2_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),,1 out of 5
A0A2S0R9F8,A0A2S0R9F8_HUMAN,unreviewed,BRCA2 (Fragment),,1 out of 5
A0A0F6TN25,A0A0F6TN25_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),,1 out of 5
A0A2S0RQK6,A0A2S0RQK6_HUMAN,unreviewed,BRCA2 (Fragment),,1 out of 5
A0A0B6XJY7,A0A0B6XJY7_HUMAN,unreviewed,Cortactin (Fragment),,1 out of 5
A0A2S0RA94,A0A2S0RA94_HUMAN,unreviewed,BRCA2 (Fragment),,1 out of 5
Q16095,Q16095_HUMAN,unreviewed,Estrogen receptor (Fragment),,1 out of 5
A0A386IQ54,A0A386IQ54_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 2,,1 out of 5
Q9H281,Q9H281_HUMAN,unreviewed,Serologically defined breast cancer antigen NY-BR-49 (Fragment),,1 out of 5
A0A345G163,A0A345G163_HUMAN,unreviewed,BRCA1 (Fragment),,1 out of 5
Q8WWN5,Q8WWN5_HUMAN,unreviewed,Nav1.5 (Fragment),,1 out of 5
Q86XS2,Q86XS2_HUMAN,unreviewed,Prolactin receptor (PRL-R) (Fragment),,2 out of 5
A6ZFI6,A6ZFI6_HUMAN,unreviewed,Cytochrome b,,2 out of 5
A0A068BI50,A0A068BI50_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),,1 out of 5
K4JWF3,K4JWF3_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),,1 out of 5
A0A248X3Z5,A0A248X3Z5_HUMAN,unreviewed,BRCA2 (Fragment),,1 out of 5
A0A068BFX3,A0A068BFX3_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),,1 out of 5
A0A1S5WLI2,A0A1S5WLI2_HUMAN,unreviewed,Truncated breast cancer 2 (Fragment),,1 out of 5
A0A0K0PU86,A0A0K0PU86_HUMAN,unreviewed,Breast cancer type 1 susceptibility protein (Fragment),,1 out of 5
A0A2S0RAN4,A0A2S0RAN4_HUMAN,unreviewed,BRCA2 (Fragment),,1 out of 5
Q7Y6X6,Q7Y6X6_HUMAN,unreviewed,ATP synthase subunit a,,2 out of 5
Q4EZ08,Q4EZ08_HUMAN,unreviewed,Cytochrome b,,2 out of 5
A0A068BFY0,A0A068BFY0_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 1 (Fragment),,1 out of 5
Q6RJW6,Q6RJW6_HUMAN,unreviewed,Env (Fragment),,1 out of 5
Q4JM60,Q4JM60_HUMAN,unreviewed,Envelope protein (Fragment),,1 out of 5
A2JGV3,A2JGV3_HUMAN,unreviewed,TCRgamma alternate reading frame protein,,1 out of 5
B2ZAH4,B2ZAH4_HUMAN,unreviewed,TP53 (Fragment),,1 out of 5
W1IAS0,W1IAS0_HUMAN,unreviewed,Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment),,3 out of 5
A8QT67,A8QT67_HUMAN,unreviewed,ATP synthase subunit a,,2 out of 5
H0YCF7,H0YCF7_HUMAN,unreviewed,Breast cancer metastasis-suppressor 1 (Fragment),,1 out of 5
E9PJF5,E9PJF5_HUMAN,unreviewed,Breast cancer metastasis-suppressor 1 (Fragment),,1 out of 5
A6ZFL2,A6ZFL2_HUMAN,unreviewed,Cytochrome b,,2 out of 5
Q5YLB2,Q5YLB2_HUMAN,unreviewed,Breast cancer type 1 susceptibility protein (EC 2.3.2.27),,4 out of 5
Q9HAX1,Q9HAX1_HUMAN,unreviewed,Desmocollin 3 (Fragment),,1 out of 5
B3KP06,B3KP06_HUMAN,unreviewed,"cDNA FLJ30880 fis, clone FEBRA2004767, highly similar to Breast cancer anti-estrogen resistance protein 3",,1 out of 5
A0A386IN60,A0A386IN60_HUMAN,unreviewed,Breast cancer type 1 susceptibility protein (EC 2.3.2.27),,3 out of 5
A8R1T6,A8R1T6_HUMAN,unreviewed,ATP synthase subunit a,,2 out of 5
Q85KU6,Q85KU6_HUMAN,unreviewed,Cytochrome b,,3 out of 5
E7EWN5,E7EWN5_HUMAN,unreviewed,Breast cancer type 1 susceptibility protein (Fragment),,1 out of 5
D2XBF0,D2XBF0_HUMAN,unreviewed,Potassium inwardly-rectifying channel subfamily J member 3 splice variant 1e,,2 out of 5
A0A2R8YFK2,A0A2R8YFK2_HUMAN,unreviewed,Breast cancer anti-estrogen resistance protein 1,,1 out of 5
A0A024R1V7,A0A024R1V7_HUMAN,unreviewed,Breast cancer type 1 susceptibility protein (EC 2.3.2.27),,3 out of 5
A0A140HIE5,A0A140HIE5_HUMAN,unreviewed,Breast cancer type 1 isoform 1 (Fragment),,1 out of 5
Q6PKT5,Q6PKT5_HUMAN,unreviewed,MMTV-like env (Fragment),,1 out of 5
A0A386INJ5,A0A386INJ5_HUMAN,unreviewed,Breast cancer type 1 susceptibility protein (EC 2.3.2.27),,3 out of 5
A6ZFQ8,A6ZFQ8_HUMAN,unreviewed,Cytochrome c oxidase subunit 3,,2 out of 5
F8J2B5,F8J2B5_HUMAN,unreviewed,LIM domain only 7 protein,,1 out of 5
B2ZAH2,B2ZAH2_HUMAN,unreviewed,TP53 (Fragment),,1 out of 5
A0A2R4U2F8,A0A2R4U2F8_HUMAN,unreviewed,BRCA1 protein (Fragment),,1 out of 5
A0A068BCA1,A0A068BCA1_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 1 (Fragment),,1 out of 5
A0A0F6TNI0,A0A0F6TNI0_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),,1 out of 5
A6YX95,A6YX95_HUMAN,unreviewed,Cytochrome c oxidase subunit 3,,2 out of 5
A0A649UIZ9,A0A649UIZ9_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 2,,1 out of 5
A0A6B7FVM6,A0A6B7FVM6_HUMAN,unreviewed,Breast cancer type 1 susceptibility protein (EC 2.3.2.27) (Fragment),,1 out of 5
A0A386IPB0,A0A386IPB0_HUMAN,unreviewed,Breast cancer type 1 susceptibility protein (EC 2.3.2.27),,3 out of 5
A0A0R9RRX7,A0A0R9RRX7_HUMAN,unreviewed,Tumor protein p53 (Fragment),,1 out of 5
A0A068BEV3,A0A068BEV3_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 1 (Fragment),,1 out of 5
F2YBS6,F2YBS6_HUMAN,unreviewed,Matrix metalloproteinase-9 (Fragment),,1 out of 5
A0A2H4RBX9,A0A2H4RBX9_HUMAN,unreviewed,Mutant partner and localizer of BRCA2 (Fragment),,1 out of 5
A0A068BDS2,A0A068BDS2_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),,1 out of 5
A0A386IPY1,A0A386IPY1_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 2,,1 out of 5
A0A0F7G9S0,A0A0F7G9S0_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 1 (Fragment),,1 out of 5
W5QSH4,W5QSH4_HUMAN,unreviewed,Cytochrome P450 (EC 1.14.14.-),,2 out of 5
Q7Y664,Q7Y664_HUMAN,unreviewed,Cytochrome c oxidase subunit 3,,2 out of 5
Q7GSH8,Q7GSH8_HUMAN,unreviewed,NADH-ubiquinone oxidoreductase chain 4 (EC 7.1.1.2),,3 out of 5
B4DES0,B4DES0_HUMAN,unreviewed,Breast cancer type 1 susceptibility protein (EC 2.3.2.27),,3 out of 5
A0A386INH9,A0A386INH9_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 1,,1 out of 5
A6ZF93,A6ZF93_HUMAN,unreviewed,NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2),,3 out of 5
A0A6B7FX64,A0A6B7FX64_HUMAN,unreviewed,Breast cancer type 1 susceptibility protein (EC 2.3.2.27) (Fragment),,1 out of 5
A0A386INQ5,A0A386INQ5_HUMAN,unreviewed,Breast cancer type 1 susceptibility protein (EC 2.3.2.27),,3 out of 5
A0A6B7FUA2,A0A6B7FUA2_HUMAN,unreviewed,Truncated breast cancer type 1 susceptibility protein (EC 2.3.2.27) (Fragment),,1 out of 5
Q8IZK3,Q8IZK3_HUMAN,unreviewed,Breast and ovarian cancer susceptibility protein (Fragment),,1 out of 5
A0A0S2ZYL1,A0A0S2ZYL1_HUMAN,unreviewed,Mutant BRCA2 (Fragment),,1 out of 5
A0A386IPX7,A0A386IPX7_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 2,,1 out of 5
A0A068BEW5,A0A068BEW5_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 1 (Fragment),,1 out of 5
A8E2S6,A8E2S6_HUMAN,unreviewed,Uncharacterized protein ABCB1,,1 out of 5
Q4JM63,Q4JM63_HUMAN,unreviewed,Envelope protein (Fragment),,1 out of 5
A0A386IN23,A0A386IN23_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 2,,1 out of 5
A0A068BCA4,A0A068BCA4_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 1 (Fragment),,1 out of 5
A0A068BEU0,A0A068BEU0_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),,1 out of 5
A0A386INE3,A0A386INE3_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 2,,1 out of 5
K4JUB1,K4JUB1_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 1 (Fragment),,1 out of 5
Q14267,Q14267_HUMAN,unreviewed,ER-alpha (Estradiol receptor) (Estrogen receptor) (Nuclear receptor subfamily 3 group A member 1),,2 out of 5
A0A2S0RBI6,A0A2S0RBI6_HUMAN,unreviewed,BRCA2 (Fragment),,1 out of 5
A0A2S0R9G4,A0A2S0R9G4_HUMAN,unreviewed,BRCA2 (Fragment),,1 out of 5
A0A2S0R9G3,A0A2S0R9G3_HUMAN,unreviewed,BRCA2 (Fragment),,1 out of 5
A0A0F6RAD1,A0A0F6RAD1_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 1 (Fragment),,1 out of 5
Q9UJ49,Q9UJ49_HUMAN,unreviewed,Latrophilin-2 (Fragment),,1 out of 5
G4V502,G4V502_HUMAN,unreviewed,Breast cancer associated protein 1 (Fragment),,1 out of 5
A0A386IN02,A0A386IN02_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 2,,1 out of 5
Q761V2,Q761V2_HUMAN,unreviewed,Tumor protein p53 (Fragment),,1 out of 5
Q6VI47,Q6VI47_HUMAN,unreviewed,Cytochrome b,,3 out of 5
A0A2R8Y6M6,A0A2R8Y6M6_HUMAN,unreviewed,Breast cancer anti-estrogen resistance protein 1,,1 out of 5
Q9NQR3,Q9NQR3_HUMAN,unreviewed,BRCAI (Breast and ovarian cancer susceptibility protein) (Fragment),,1 out of 5
B3KWE2,B3KWE2_HUMAN,unreviewed,"cDNA FLJ42854 fis, clone BRHIP2008607, highly similar to Breast cancer anti-estrogen resistance protein 1",,1 out of 5
A0A8A2FPJ2,A0A8A2FPJ2_HUMAN,unreviewed,"Mutant phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha",,1 out of 5
A0A0F7G9Q0,A0A0F7G9Q0_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 1 (Fragment),,1 out of 5
A0A7T8JKQ4,A0A7T8JKQ4_HUMAN,unreviewed,Truncated HER2 splice variant p100,,1 out of 5
A0A068BCB2,A0A068BCB2_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 1 (Fragment),,1 out of 5
A0A068BFU7,A0A068BFU7_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),,1 out of 5
A0A0G3FC22,A0A0G3FC22_HUMAN,unreviewed,Breast cancer type 1 susceptibility protein (Fragment),,1 out of 5
A0A068BCA9,A0A068BCA9_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),,1 out of 5
A0A068BEV6,A0A068BEV6_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 1 (Fragment),,1 out of 5
A0A0F6RAU8,A0A0F6RAU8_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),,1 out of 5
A0A248X3Y4,A0A248X3Y4_HUMAN,unreviewed,BRCA2 (Fragment),,1 out of 5
Q8NG43,Q8NG43_HUMAN,unreviewed,Progesterone receptor (PR) (Nuclear receptor subfamily 3 group C member 3),,2 out of 5
H0YHD0,H0YHD0_HUMAN,unreviewed,Breast cancer metastasis-suppressor 1-like protein (Fragment),,1 out of 5
A0A0U1RRA9,A0A0U1RRA9_HUMAN,unreviewed,Breast cancer type 1 susceptibility protein (Fragment),,2 out of 5
W6JLH6,W6JLH6_HUMAN,unreviewed,Anoctamin,,2 out of 5
Q6P5Z4,Q6P5Z4_HUMAN,unreviewed,Breast cancer anti-estrogen resistance 1,,3 out of 5
A0A386IPV3,A0A386IPV3_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 2,,1 out of 5
K4JWE8,K4JWE8_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 1 (Fragment),,1 out of 5
K4JTT2,K4JTT2_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),,1 out of 5
A0A0F7GBC5,A0A0F7GBC5_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 1 (Fragment),,1 out of 5
K4JXU1,K4JXU1_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),,1 out of 5
Q7GXU0,Q7GXU0_HUMAN,unreviewed,ATP synthase protein 8,,2 out of 5
A0A2R8Y587,A0A2R8Y587_HUMAN,unreviewed,Breast cancer type 1 susceptibility protein (Fragment),,1 out of 5
C9IZW4,C9IZW4_HUMAN,unreviewed,Breast cancer type 1 susceptibility protein (Fragment),,1 out of 5
B3KNL6,B3KNL6_HUMAN,unreviewed,"cDNA FLJ14879 fis, clone PLACE1003353, highly similar to Breast cancer anti-estrogen resistance protein 3",,1 out of 5
A6ZFM3,A6ZFM3_HUMAN,unreviewed,NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2),,3 out of 5
A0A386IQ46,A0A386IQ46_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 2,,1 out of 5
Q6PKT6,Q6PKT6_HUMAN,unreviewed,MMTV-like env (Fragment),,1 out of 5
K4JXT2,K4JXT2_HUMAN,unreviewed,Breast and ovarian cancer susceptibility protein 1 (Fragment),,1 out of 5
A0A248X3Z2,A0A248X3Z2_HUMAN,unreviewed,BRCA2 (Fragment),,1 out of 5
E0Y476,E0Y476_HUMAN,unreviewed,NADH-ubiquinone oxidoreductase chain 4 (EC 7.1.1.2),,2 out of 5
Q85KW1,Q85KW1_HUMAN,unreviewed,NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2),,3 out of 5
A0A6B7FX04,A0A6B7FX04_HUMAN,unreviewed,Truncated breast cancer type 1 susceptibility protein (EC 2.3.2.27) (Fragment),,1 out of 5
E9LRP4,E9LRP4_HUMAN,unreviewed,POU domain protein,,2 out of 5
A7BG63,A7BG63_HUMAN,unreviewed,Non-specific serine/threonine protein kinase (EC 2.7.11.1),,2 out of 5
